$English - Magyar
#Az utcán

avenue	sugárút
landslide	földcsuszamlás
lava	láva
capital city vagy capital	főváros
border	határ
national park	nemzeti park
north pole	északi-sark
south pole	déli-sark
equator	egyenlítő
longitude	hosszúság
latitude	szélesség
sea level	tengerszint
erosion	erózió
pollution	környezetszennyezés
atmosphere	légkör
environment	környezet
population	népesség
famine	éhínség
fossil fuel	fosszilis tüzelőanyag
energy	energia
unemployment	munkanélküliség
landscape	táj
literacy	olvasni tudás
malnutrition	alultápláltság
migration	migráció
radiation	sugárzás
nuclear energy	nukleáris energia
crater	kráter
sand dune	homokdűne
trade	kereskedelem
urban	városi
rural	vidéki
economy	gazdaság
poverty	szegénység
slum	nyomornegyed
life expectancy	várható élettartam
dog	kutya
cat	macska
rabbit	nyúl
hamster	hörcsög
goldfish	aranyhal
cow	tehén
sheep, sheep	birka, birkák
pig	disznó
horse	ló
chicken	csirke
fox	róka
deer, deer	őz, őzek
mouse, mice	egér, egerek
rat	patkány
frog	béka
snake	kígyó
lion	oroszlán
tiger	tigris
monkey	majom
elephant	elefánt
giraffe	zsiráf
bear	medve
pigeon	galamb
crow	varjú
dove	gerle
owl	bagoly
eagle	sas
ant	hangya
fly	légy
spider	pók
bee	méhecske
wasp	darázs
butterfly	lepke
cod	tőkehal
trout	pisztráng, pisztrángok
salmon	lazac, lazacok
tuna	tonhal, tonhalak
shark	cápa
crab	rák
tail	farok
fur	szőrzet
claw	karom
paw	mancs
hoof	pata
mane	sörény
trunk	ormány
snout	pofa
bracken	páfrány
brambles	szeder
bush	bokor / bozót
cactus, cacti	kaktusz, kaktuszok
corn	kukorica
fern	páfrány
flower	virág
fungus, fungi	gomba, gombák
grass	fű
heather	hanga
herb	fűszernövény
ivy	borostyán
moss	moha
mushroom	gomba
nettle	csalán
shrub	bokor
thistle	bogáncs
toadstool	mérgesgomba
tree	fa
weed	gaz
wheat	búza
wild flower	vadvirág
bluebell	harangvirág
buttercup	boglárka
carnation	szegfű
chrysanthemum	krizantin
crocus	krókusz
daffodil	nárcisz
dahlia	dália
daisy	margaréta
dandelion	gyermekláncfű / pitypang
forget-me-not	nefelejcs
foxglove	gyűszűvirág
geranium	muskátli
lily	liliom
orchid	orchidea
pansy	árvácska
poppy	pipacs
primrose	primula / kankalin
rose	rózsa
snowdrop	hóvirág
sunflower	napraforgó
tulip	tulipán
waterlily	vízililiom
bouquet of flowers, flower bouquet	virágcsokor
bunch of flowers	virágcsokor
berry	bogyó
blossom	virág
bud	bimbó/rügy
flower	virág
leaf	levél
petal	szirom
pollen	pollen
root	gyökér
stalk	szár
stem	szár
thorn	tövis
alder	éger
ash	kőrisfa, hamu
beech	bükk
birch	nyírfa
cedar	cédrus
elm	szilfa
fir	erdei fenyő
hazel	mogyoró
hawthorn	galagonya
holly	magyalfa
lime	hársfa
maple	juharfa
oak	tölgy
plane	platán
pine	fenyő
poplar	nyár
sycamore	platánfa
weeping willow	szomorúfűz
willow	fűzfa
yew	tiszafa
apple tree	almafa
cherry tree	meggy-/cseresznyefa
chestnut tree	gesztenye
coconut tree	kókuszpálma
fig tree	fügefa
horse chestnut tree	vadgesztenyefa
olive tree	olajfa
pear tree	körtefa
plum tree	szilvafa
bark	kéreg
branch	ág
pine cone	fenyőtoboz
sap	nedv
tree stump vagy stump	fatuskó vagy tuskó
trunk	törzs
twig	gally
fruit tree	gyümölcsfa
palm tree	pálmafa
evergreen	örökzöld
coniferous	tűlevelű
deciduous	lombhullató

#Testrészek

beard	szakáll
cheek	arc
chin	áll
head	fej
hair	haj
ear	fül
eye	szem
eyebrow	szemöldök
eardrum	dobhártya
earlobe	fülcimpa
eyelash	szempilla
eyelid	szemhéj
forehead	homlok
freckles	szeplők
jaw	állkapocs
lip	ajak
mouth	száj
nose	orr
nostril	orrlyuk
moustache	bajusz
tongue	nyelv
tooth (többesszáma: teeth)	fog (fogak)
wrinkles	rácok
adam's apple	ádámcsutka
arm	kar
armpit	hónalj
back	hát
breast	mell
chest	mellkas
elbow	könyök
hand	kéz
finger	ujj
fingernail	köröm
forearm	alkar
knuckle	ujjizület
navel vagy belly button	köldök
neck	nyak
nipple	mellbimbó
palm	tenyér
shoulder	váll
throat	torok
thumb	hüvelykujj
waist	derék
wrist	csukló
ankle	boka
anus	végbélnyílás
belly	has
big toe	nagylábujj
bottom (szleng: bum)	fenék
buttocks	tompor
calf	vádli
foot (többesszáma: feet)	lábfej (lábfejek)
genitals	nemi szervek
groin	ágyék
heel	sarok
hip	csípő
knee	térd
leg	láb
penis	pénisz
pubic hair	szeméremszőrzet
shin	sípcsont
sole	talp
testicles	herék
thigh	comb
toe	lábujj
toenail	labujj köröm
vagina	vagina
cornea	szaruhártya
eye socket	szemüreg
eyeball	szemgolyó
iris	szivárványhártya
retina	retina
pupil	pupilla
achilles tendon	achilles-ín
artery	artéria
appendix	féregnyúlvány
bladder	húgyhólyag
blood vessel	vérér
brain	agy
cartilage	porc
colon	vastagbél
gall bladder vagy gallbladder	epehólyag
heart	szív
intestines	belek
large intestine	vastagbél
small intestine	vékonybél
kidneys	vesék
ligament	ínszalag
liver	máj
lungs	tödő
oesophagus	nyelőcső
pancreas	hasnyálmirigy
organ	szerv
prostate gland vagy prostate	prosztata
rectum	végbél
spleen	lép
stomach	gyomor
tendon	ín
tonsils	mandula
vein	véna
windpipe	légcső
womb vagy uterus	méh
collarbone vagy clavicle	kulcscsont
thigh bone vagy femur	combcsont
humerus	felkarcsont
kneecap	térdkalács
pelvis	medence
rib	borda
rib cage	mellkas
skeleton	csontváz
skull	koponya
spine vagy backbone	gerinc
vertebra (többesszáma: vertebrae)	csigolya
bile	epe
blood	vér
mucus	nyálka
phlegm	váladék
saliva vagy spit	nyál
semen	ondó
sweat vagy perspiration	izzadság
tears	könnyek
urine	vizelet
vomit	hányás
bone	csont
fat	zsír
flesh	hús
gland	mirigy
joint	izület
limb	végtag
muscle	izom
nerve	ideg
skin	bőr
digestive system	emésztőrendszer
nervous system	idegrendszer
to breathe	lélegezni
to cry	sírni
to hiccup	csuklani
to have the hiccups	csuklani
to sneeze	tüsszenteni
to sweat vagy to perspire	izzadni
to urinate	vizelni
to vomit	hányni
to yawn	ásítani

#Tulajdonságok

white	fehér
yellow	sárga
orange	narancssárga
pink	rózsaszínű
red	piros
brown	barna
green	zöld
blue	kék
purple	lila
grey vagy gray	szürke
black	fekete
silver, silver-coloured	ezüst, ezüstszínű
gold, gold-coloured	arany, aranyszínű
multicoloured	többszínű
light brown	világosbarna
light green	világoszöld
light blue	világoskék
dark brown	sötétbarna
dark green	sötétzöld
dark blue	sötétkék
bright red	világospiros
bright green	világoszöld
bright blue	világoskék
tall	magas
short	alacsony
slim	karcsú
thin	vékony
fat	kövér
obese	elhízott
well-built	jó felépítésű
overweight	túlsúlyos
medium height	közepes magasságú
well-dressed	jól öltözött
smart	sikkes
scruffy	ápolatlan
good-looking	jóképű
attractive	vonzó
beautiful	gyönyörű
pretty	szép
handsome	jóvágású
ugly	csúnya
young	fiatal
middle-aged	középkorú
bald	kopasz
bald-headed	kopasz fejű
beard	szakáll
moustache	bajusz
long hair	hosszú haj
short hair	rövid haj
straight hair	egyenes haj
curly hair	göndör haj
fair-haired	világos hajú
blond-haired vagy blonde-haired	szőke hajú
brown-haired	barna hajú
dark-haired	sötét hajú
ginger-haired	vörös hajú
blonde	szőke
brunette	barna
redhead	vörös
big	nagy
small vagy little	kicsi
fast	gyors
slow	lassú
good	jó
bad	rossz
expensive	drága
cheap	olcsó
thick	vastag
thin	vékony
narrow	keskeny
wide	széles
broad	széles (átv)
loud	hangos
quiet	halk
intelligent	intelligens
stupid	buta
wet	nedves
dry	száraz
heavy	nehéz / súlyos
light	könnyű
hard	kemény
soft	lágy
shallow	sekély
deep	mély
easy	könnyű
difficult	nehéz
weak	gyönge
strong	erős
rich	gazdag
poor	szegény
young	fiatal
old	idős / öreg
long	hosszú
short	rövid
high	magas
low	alacsony
generous	bőkezű
mean	fukar
true	igaz
false	hamis
beautiful	gyönyörű
ugly	csúnya
new	új
old	régi
happy	boldog
sad	szomorú
safe	biztonságos
dangerous	veszélyes
early	korán
late	későn
light	világos
dark	sötét
open	nyitva
closed vagy shut	zárva / csukva
tight	szoros
loose	laza
full	teli
empty	üres
many	sok
few	kevés
alive	élő
dead	halott
hot	meleg
cold	hideg
interesting	érdekes
boring	unalmas
lucky	szerencsés
unlucky	szerencsétlen
important	fontos
unimportant	lényegtelen
right	jó
wrong	rossz
far	messze
near	közel
clean	tiszta
dirty	piszkos
nice	kedves
nasty	gonosz
pleasant	kellemes
unpleasant	kellemetlen
excellent	kiváló
terrible	borzalmas
fair	méltányos
unfair	méltánytalan
normal	normális
abnormal	nem normális

#Ünnep

christmas card	karácsonyi képeslap
christmas present	karácsonyi ajándék
christmas cake	karácsonyi torta
christmas pudding	angol karácsonyi puding
christmas crackers	karácsonyi pukkantó
christmas tree	karácsonyfa
christmas decorations	karácsonyi díszek
holly	magyal
father christmas vagy santa claus	télapó
birthday card	születésnapi kártya
birthday present	születésnapi ajándék
birthday cake	születésnapi torta
marriage	házasság
wedding	esküvő
bride	menyasszony
bridegroom	vőlegény
best man	tanu
bridesmaid	koszorúslány
wedding day	esküvő napja
wedding ring	karikagyűrű
wedding cake	esküvői torta
wedding dress	menyasszonyi ruha
honeymoon	nászút
anniversary, wedding anniversary	évforduló, házassági évforduló

#Utazás

by bicycle	kerékpárral
by boat	hajóval
by bus	busszal
by car	autóval
by coach	távolsági busszal
by ferry	komppal
by motorcycle	motorkerékpárral
by plane	repülővel
by train	vonattal
on foot	gyalog
ticket office	jegyiroda
travel agent	utazási iroda
brochure	brossúra
price	ár
fare	útiköltség
ticket	jegy
booking	foglalás
reservation	rezerváció
passenger	utas
destination	úti cél
itinerary	útvonal
journey	utazás
travel insurance	utazásbiztosítás
holiday	szabadság
sightseeing	városnézés
business trip	üzleti út
to book	foglalni
to cancel a booking	lemondani a foglalást
to arrive	megérkezni
to leave	elhagyni
to depart	eltávozni
to travel	utazni
to visit	ellátogatni
cancellation	törlés
customs	vám
delay	késés
information desk	információspult
luggage vagy baggage	csomag
map	térkép
passport control	útlevél-ellenőrzés
suitcase	bőrönd
cancelled	törölt
delayed	késik
bypass	elkerülő út
country lane	vidéki út
dual carriageway	kétsávos út
main road	főút
motorway	autópálya
one-way street	egyirányú út
ring road	körút
road	út
toll road	vámköteles út
corner	sarok
crossroads	útkereszteződés
kerb	járda
fork	útelágazás
hard shoulder	leállósáv
junction	csomópont
lay-by	leállósáv
level crossing	vasúti átjáró
pavement (amerikai angol: sidewalk)	járda
pedestrian crossing	gyalogosátkelő
road sign	közlekedési jelzőtábla
roadside	országúti
roadworks	közúti munka
roundabout	körforgalom
services	szolgáltatások
signpost	útjelzőtábla
speed limit	sebességkorlátozás
t-junction	t - elágazás
toll	úthasználati díj
traffic light	közlekedési jelzőlámpa
turning	kanyar
timetable	menetrend
single (a következő rövidítése: single ticket)	egyirányú
return (a következő rövidítése: return ticket)	kétirányú
platform	vágány
waiting room	váróterem
ticket office vagy booking office	jegypénztár
seat	ülés
seat number	ülésszám
luggage rack	csomagtér
first class	első osztály
second class	másodosztály
ticket inspector	kalauz
ticket collector	jegy ellenőr
penalty fare	büntetés
buffet car	büféskocsi
carriage	kocsi
compartment	fülke
derailment	kisiklás
express train	gyorsvonat
guard	vasutas
level crossing	vasúti sorompó
line closure	vasúti pálya lezárás
live rail	feszültség alatti sín
railcard	vasúti bérlet
railway line	vasúti sínpár
restaurant car	étkezőkocsi
season ticket	bérlet
signal	jelző
sleeper train	alvókocsi
station	állomás
railway station	vasútállomás
train station	vonatállomás
stopping service	személyvonat
ticket barrier	jegykezelő kapu
track	vasúti sín
train	vonat
train crash	vasúti baleset
train driver	mozdonyvezető
train fare	vasúti menetdíj
train journey	vasúti utazás
travelcard	bérlet
tube station / underground station	metrómegálló
tunnel	alagút
to catch a train	felszállni egy vonatra
to get on the train	felszállni a vonatra
to get off the train	leszállni a vonatról
to miss a train	lekésni egy vonatot
bus	busz
bus driver	buszvezető
bus fare	busz
bus journey	buszos út
bus stop	busz megálló
bus lane	buszsáv
bus station	autóbuszállomás
coach	távolsági autóbusz
coach station	távolsági autóbuszállomás
double-decker bus	emeletes busz
conductor	ellenőr
inspector	kalauz
luggage hold	csomagtér
the next stop	következő megálló
night bus	éjszakai buszjárat
request stop	kívánság szerinti megálló
route	útvonal
terminus	végállomás
to get on the bus	felszállni a buszra
to get off the bus	leszállni a buszról
to catch a bus	felszállni egy buszra
to miss a bus	lekésni egy buszt
airline	légitársaság
airport	repülőtér
baggage allowance, luggage allowance	megengedett poggyász
connecting flight	csatlakozó járat
flight	repülőjárat
flight number	járatszám
aircraft	repülőgép
helicopter	helikopter
jet	sugárhajtású repülőgép
plane (a következő rövidítése: aeroplane)	repülő
to fly	repülni
to land	leszállni
to miss a flight	lekésni a repülőt
to take off	felszállni
landing	leszállás
take-off	felszállás
arrivals	érkezések
baggage reclaim	poggyászfelvétel
baggage handler	poggyászrakodó
boarding	beszállás
boarding card	beszállókártya
carousel	körhinta / futószalag
check-in desk	utasfelvételi pult
departure lounge	induló váróterem
departures	indulások
gate	kapu
hand baggage vagy hand luggage	kézipoggyász
hold baggage vagy hold luggage	feladandó poggyász
passport	útlevél
runway	kifutópálya
security	biztonsági személyzet
trolley	poggyászkocsi
pilot	pilóta
captain	kapitány
first officer (más néven co-pilot)	másodpilóta
flight attendant	légi utaskísérő
air steward, air stewardess	légi utaskísérő, légi utaskísérőnő
aisle seat	folyosó melletti ülés
in-flight entertainment	fedélzeti program
in-flight meal	repülőn felszolgált étel
seatbelt	biztonsági öv
turbulence	örvény (turbulancia)
window seat	ablak melletti ülés
aisle	folyosó
cabin	kabin
cockpit	pilótafülke
engine	motor
landing gear	futómű
propeller	légcsavar
wing	szárny
port	kikőtő
harbour	kikötő
ferry terminal	kompkikötő
cruise	körutazás
crossing	átkelő
foot passenger	személy utas
calm sea	nyugodt tenger
rough sea	viharos tenger
seasick	tengeri betegség
to disembark	hajóról leszállni
to embark	hajóra szállni
to sail	vitorlázni
car ferry	komp
cruise ship	sétahajó
ferry	komp
hovercraft	légpárnás hajó
yacht	jacht
captain	kapitány
crew	személyzet
crew member	személyzet tagja
bar	bár
buffet	büfé
bureau de change	pénzváltó iroda
cabin	fülke
cabin number	kabinszám
car deck	gépkocsifedélzet
currency exchange	valuta váltás
deck	fedélzet
gangway	hajóhíd
information desk	információs pult
restaurant	étterem
self-service restaurant	önkiszolgáló étterem
life belt	mentőöv
life jacket	mentőmellény
lifeboat	mentőcsónak
north	észak
northeast	északkelet
east	kelet
southeast	délkelet
south	dél
southwest	délnyugat
west	nyugat
northwest	északnyugat
map	térkép
compass	iránytű
to read a compass	megnézni iránytűn
check-in	bejelentkezés
check-out	kijelentkezés
reservation	foglalás
vacancy	üresedés
to book	foglalni
to check in	bejelentkezni
to check out	kijelentkezni
to pay the bill	kifizetni a számlát
to stay at a hotel	szállodában megszállni
hotel	szálloda
guesthouse	vendégház
hostel	hostel
campsite	kempingezőhely
single room	egyágyas szoba
double room	kétágyas szoba
twin room	kétágyas szoba
triple room	háromágyas szoba
suite	lakosztály
air conditioning	légkondicionálás
bath	fürdőkád
en-suite bathroom	hálószobából nyíló fürdőszoba
internet access	internet-hozzáférés
minibar	minibár
safe	széf
shower	zuhany
car park	parkoló
corridor	folyosó
fire escape	tűzkijárat
games room	játékszoba
gym	konditerem
laundry service	mosoda
lift	lift
lobby	szállodai aula
reception	recepció
restaurant	étterem
room service	szobaszervíz
sauna	szauna
swimming pool	úszómedence
manager	menedzser
housekeeper	házvezető
receptionist	recepciós
room attendant	szobalány/szobafiú
chambermaid	szobalány
doorman	ajtónálló
porter	portás
fire alarm	tűzriasztó
laundry	mosoda
room key	szobakulcs
room number	szobaszám
wake-up call	telefonos ébresztés

#Üzleti élet

accountant	könyvelő
actuary	biztosítási matematikus
advertising executive	hirdetési ügyintéző
bank clerk	banktisztviselő
bank manager	bank menedzser
businessman	üzletember
businesswoman	üzletasszony
economist	közgazdász
financial adviser	pénzügyi tanácsadó
health and safety officer	munkavédelmi felügyelő
hr manager (a következő rövidítése: human resources manager)	humánerőforrás-menedzser
insurance broker	biztosítási ügynök
pa (a következő rövidítése: personal assistant)	személyi titkár
investment analyst	befektetési elemző
project manager	projektmenedzser
marketing director	marketing igazgató
management consultant	üzletviteli tanácsadó
manager	menedzser
office worker	irodai dolgozó
receptionist	recepciós
recruitment consultant	fejvadász
sales rep (a következő rövidítése: sales representative)	üzletkötő
salesman / saleswoman	eladó / eladónő
secretary	titkár / titkárnő
stockbroker	bróker
telephonist	telefonkezelő
database administrator	adatbázis adminisztrátor
programmer	programozó
software developer	szoftverfejlesztő
web designer	webtervező
web developer	webfejlesztő
antique dealer	régiségkereskedő
art dealer	műkereskedő
baker	pék
barber	borbély
beautician	kozmetikus
bookkeeper	könyvelő
bookmaker	bukméker
butcher	hentes
buyer	vevő / vásárló
cashier	pénztáros
estate agent	ingatlan ügynök
fishmonger	halárus
florist	virágkötő
greengrocer	zöldség-gyümölcs árus
hairdresser	fodrász
sales assistant	eladó aszisztens
shop assistant	üzleti aszisztens
shopkeeper	üzletvezető
store detective	áruházi nyomozó
store manager	üzlet menedzser
tailor	szabó
travel agent	utazási ügynök
wine merchant	borkereskedő
carer	gondozó
counsellor	tanácsos
dentist	fogorvos
dental hygienist	dentálhigiénikus
doctor	orvos
midwife	szülésznő
nanny	dada
nurse	nővér
optician	szemész
paramedic	mentős
pharmacist vagy chemist	gyógyszerész
physiotherapist	fizikoterápiai szakorvos
psychiatrist	pszihológus
social worker	szociális gondozó
surgeon	sebész
vet vagy veterinary surgeon	állatorvos
blacksmith	kovács
bricklayer	kőműves
builder	epítő szakember
carpenter	asztalos / ács
chimney sweep	kéményseprő
cleaner	takarító
decorator	szobafestő
driving instructor	járművezetési oktató
electrician	villanyszerelő
gardener	kertész
glazier	üveges
groundsman	pályagondnok
masseur	masszőr (férfi)
masseuse	masszőr (nő)
mechanic	szerelő (autószerelő)
pest controller	kártevőirtó
plasterer	vakoló
plumber	vízvezeték-szerelő
roofer	tetőfedő
stonemason	kőfaragó
tattooist	tetováló
tiler	hidegburkoló
tree surgeon	arborista
welder	hegesztő
window cleaner	ablaktisztító
barman	bár pincér
barmaid	bár pincérnő
bartender	csapos
bouncer	kidobóember
cook	szakács
chef	főszakács / séf
hotel manager	szállodai menedzser
hotel porter	szállodai portás
pub landlord	kocsmáros
tour guide vagy tourist guide	idegenvezető
waiter	pincér
waitress	pincérnő
air traffic controller	légiforgalmi irányító
bus driver	buszvezető
flight attendant (régebben air steward, air stewardess vagy air hostess néven hívták)	légiutas-kísérő
lorry driver	kamionsofőr
sea captain vagy ship's captain	hajóskapitány
taxi driver	taxisofőr
train driver	vonatvezető
pilot	pilóta
artist	művész
editor	szerkesztő
fashion designer	divattervező
graphic designer	grafikus tervező
illustrator	illusztrátor
journalist	újságíró
painter	festőművész
photographer	fényképész
playwright	színműíró / drámaíró
poet	költő
sculptor	szobrász
writer	író
actor	színész
actress	színésznő
comedian	komikus
composer	dalszerző
dancer	táncos
film director	filmrendező
dj (a következő rövidítése: disc jockey)	lemezlovas
musician	zenész
newsreader	hírolvasó
singer	énekes
television producer	televíziós producer
tv presenter	tv-s műsorvezető
weather forecaster	meterológus
barrister	peres ügyvéd
bodyguard	testőr
customs officer	vámtisztviselő
detective	nyomozó
forensic scientist	kriminalisztikai szakértő
judge	bíró
lawyer	ügyvéd
magistrate	magisztrátus
police officer (régebben policeman vagy policewoman néven hívták)	rendőr
prison officer	börtönőr
private detective	magánnyomozó
security officer	biztonsági őr
solicitor	közjegyző
traffic warden	parkolási ellenőr
choreographer	koreográfus
dance teacher vagy dance instructor	tánctanár
fitness instructor	fitneszedző
martial arts instructor	harcművészeti oktató
personal trainer	személyi edző
professional footballer	hivatásos futballista
sportsman	sportoló (férfi)
sportswoman	sportoló (nő)
lecturer	egyetemi tanár / előadó
music teacher	zenetanár
teacher	tanár
teaching assistant	segédtanár
airman, airwoman	pilóta
sailor	tengerész
soldier	katona
biologist	biológus
botanist	botanikus
chemist	vegyész
laboratory technician	labortechnikus
meteorologist	meterológus
physicist	fizikus
researcher	kutató
scientist	tudós
imam	imám
priest	pap
rabbi	rabbi
vicar	plébános
arms dealer	fegyverkereskedő
burglar	betörő
drug dealer	drogkereskedő
forger	hamisító
lap dancer	lap dance táncos
mercenary	zsoldos
pickpocket	zsebtolvaj
pimp	kerítő
prostitute	prostituált
smuggler	csempész
stripper	sztriptíztáncos
thief	tolvaj
archaeologist	régész
architect	építészmérnök
charity worker	jótékonysági munkás
civil servant	köztisztviselő
construction manager	építésvezető
council worker	tanácsnál dolgozó
diplomat	diplomata
engineer	mérnök
factory worker	gyári dolgozó
farmer	farmer / gazda
firefighter,	fireman
fisherman	halász
housewife	háztartásbeli
interior designer	belsőépítész
interpreter	tolmács
landlord	főbérlő
librarian	könyvtáros
miner	bányász
model	modell
politician	politikus
postman	postás
property developer	ingatlanfejlesztő
refuse collector, bin man	kukás
surveyor	földmérő
temp, temporary worker	ideiglenes alkalmazott
translator	fordító
undertaker	temetkezési vállalkozó
advertising	reklám szakma
agriculture	mezőgazdaság
banking	bank szakma
broadcasting	műsorszórás
the building trade	epítészeti szakma
the chemical industry	vegyipar
the civil service	közigazgatás
computing	számítógépes szakma
the construction industry	építési ipar
the drinks industry	italipar
engineering	mérnöki szakma
the entertainment industry	szórakoztatóipar
farming	állattenyésztés
financial services	pénzügyi szakma
the fishing industry	halászati ipar
healthcare	egészségügy
hotel and catering	szálloda és vendéglátás
human resources	hr
insurance	biztosítás
it (information technology)	információs technológiai szakma
the legal profession	jogi pálya
local government	önkormányzat
manufacturing	gyártás
marketing	marketing
the medical profession	orvosi pálya
mining	bányászat
the motor industry	autóipar
the newspaper industry	újságipar
the oil industry	olajipar
the pharmaceutical industry	gyógyszeripar
publishing	nyomda
the retail trade	üzleti szakma
sales	üzletkötés
the shipping industry	hajóipar
teaching	tanítás
telecommunications	távközlés
television	televízió
the travel industry	utazási ipar

#Zene

beat	ütem
harmony	harmónia
lyrics	dalszöveg
melody vagy tune	melódia
note	hang
rhythm	ritmus
scale	skála
solo	szóló
duet	duett
in tune	behangolva
out of tune	hamis
amplifier	erősítő
cd	cd
cd player	cd lejátszó
headphones	fülhallgató
hi-fi vagy hi-fi system	hi-fi
instrument	hangszer
mic (a következő rövidítése: microphone)	mikrofon
mp3 player	mp3 lejátszó
music stand	kottatartó állvány
record player	lemezjátszó
speakers	hangszórók
stereo vagy stereo system	sztereo magnó
blues	blues
classical	klasszikus
country	country
dance	dance
easy listening	könnyűzene
electronic	elektronikus
folk	népzene
heavy metal	heavy metal
hip hop	hip hop
jazz	jazz
latin	latin
opera	opera
pop	pop
rap	rap
reggae	reggae
rock	rock
techno	techno
band	banda / csapat / zenekar
brass band	trombitaegyüttes
choir	kórus
concert band	koncertzenekar
jazz band	jazz együttes
orchestra	szimfonikus zenekar
pop group	popegyüttes
rock band	rockegyüttes
string quartet	vonósnégyes
composer	dalszerző
musician	zenész
performer	előadó
bassist, bass player	basszusgitáros
cellist	csellista
conductor	karmester
dj	dj
drummer	dobos
flautist	fuvolás
guitarist	gitáros
keyboard player	billentyűs
organist	orgonaművész
pianist	zongoraművész
pop star	popsztár
rapper	rapper
saxophonist	szakszofonos
trumpeter	trombitás
trombonist	harsonás
violinist	hegedűművész
singer	énekes
alto	alt
soprano	szoprán
bass	basszus
tenor	tenor
baritone	bariton
loud	hangos
quiet	halk
soft	csendes
to listen to music	zenét hallgatni
to play an instrument	hangszeren játszani
to record	felvenni
to sing	énekelni
audience	hallgatóság
concert	koncert
hymn	himnusz
love song	szerelmes dal
national anthem	nemzeti himnusz
symphony	szimfónia
record	felvétel
record label	lemezkiadó
recording	felvétel
recording studio	stúdió
song	ének / dal
stage	színpad
track	zeneszám
voice	hang
accordion	harmonika
grand piano	versenyzongora
electronic keyboard (gyakran úgy rövidítik, hogy keyboard)	billentyűs hangszer / szintetizátor
organ	orgona
piano	zongora
banjo	bendzsó
double bass	nagybőgő
cello	cselló / gordonka
guitar	gitár
acoustic guitar	akusztikus gitár
bass guitar, bass	basszusgitár
classical guitar (más néven spanish guitar)	klasszikus gitár / akusztikus gitár
electric guitar	elektromos gitár
harp	hárfa
ukulele	ukulele
viola	brácsa
violin	hegedű
bugle	trombita
cornet	kürt
horn vagy french horn	kürt
trombone	harsona
trumpet	trombita
tuba	tuba
bagpipes	skót duda
bassoon	fagott
clarinet	klarinét
flute	fuvola
harmonica / mouth organ	szájharmonika
oboe	oboa
piccolo	pikoló
recorder	furulya
saxophone	szakszofon
bass drum	nagydob
cymbals	cintányérok
drums	dobok / dobszerelés
drum kit	dobfelszerelés
gong	gong
snare drum	pergődob
tambourine	tamburin (csörgődob)
triangle	háromszög
xylophone	szilofon

